1608288360.5599642,0.0026978864334523678,193500000,3,5,0,6
1608288706.1410332,0.00044519570656120777,193300000,7,0,4,3
1608289044.9828637,0.0019906002562493086,193500000,3,6,0,5
1608289383.1216996,0.0008736728341318667,193200000,6,0,6,7
1608289751.060292,0.0006608225521631539,193200000,7,5,5,0
1608290093.5006537,0.001358718378469348,193200000,3,0,4,5
1608290434.7214744,0.0012787788873538375,193300000,5,0,5,3
1608290815.700673,0.0005625965422950685,193500000,7,6,6,3
1608291194.3409922,0.029506316408514977,193200000,6,6,7,0
1608291535.5596004,0.0026286959182471037,193200000,4,5,0,6
1608292187.9797356,1.0,193500000,5,7,3,6
1608292563.4605622,0.0037100096233189106,193200000,4,4,6,0
1608292946.7610803,0.0038964080158621073,193200000,5,6,6,4
1608293289.6519864,0.0020439198706299067,193500000,4,4,0,6
1608293663.420869,0.0032932027243077755,193200000,5,6,6,7
1608294045.9612455,0.005031229462474585,193500000,4,4,5,6
1608294392.941355,0.0015578941674903035,193400000,5,4,0,6
1608294765.6120265,0.0024130314122885466,193500000,5,3,5,6
1608295068.180417,0.0003458445135038346,193200000,3,0,0,4
1608295361.0199995,0.0012573986314237118,193400000,4,0,0,3
1608295727.6195567,0.0023471706081181765,193200000,3,6,3,7
1608296107.2807333,0.0037360561545938253,193500000,4,4,4,3
1608296776.1632614,1.0,193500000,5,7,7,4
1608297158.3413277,0.0007578756776638329,193200000,7,4,3,6
1608297535.6997883,0.00084908795543015,193500000,7,3,4,6
1608298206.459944,1.0,193200000,3,7,5,6
1608298582.841394,0.009708954021334648,193200000,6,7,5,0
1608298925.334742,0.001250691944733262,193200000,5,5,0,6
1608299259.6623917,0.0010807262733578682,193200000,5,5,0,4
1608299633.9600782,0.005348959472030401,193200000,3,5,5,0
1608300006.6619174,0.004440509248524904,193500000,3,6,6,0
1608300385.4815245,0.02816065214574337,193500000,5,4,7,6
1608300759.921985,0.030343512073159218,193200000,6,4,7,0
1608301099.539941,0.01415411476045847,193200000,4,0,7,6
1608301761.0426733,1.0,193200000,3,3,7,6
1608302103.940903,0.0019345085602253675,193200000,4,3,0,5
1608302439.5711184,0.0005750432028435171,193500000,7,5,0,6
1608302783.1597652,0.0013716474641114473,193400000,5,5,0,4
1608303163.180118,0.004409053362905979,193200000,3,5,6,7
1608303824.4820523,1.0,193500000,3,4,7,0
1608304453.38097,1.0,193200000,4,0,7,3
1608305082.3599153,1.0,193400000,3,7,0,5
1608305450.6211004,0.0015724942786619067,193500000,6,3,6,0
1608305829.5811431,0.002321253763511777,193200000,5,3,3,7
1608306204.1214113,0.002274138620123267,193500000,5,3,6,0
1608306583.603007,0.0046775504015386105,193200000,4,5,4,7
1608306962.0210705,0.0029278676956892014,193200000,5,3,6,4
1608307340.7815018,0.005781029816716909,193200000,4,6,6,7
